player_id,seasons_played,total_gp,total_w,total_l,career_w_pct,total_min,total_fgm,total_fga,career_fg_pct,total_fg3m,total_fg3a,career_fg3_pct,total_ftm,total_fta,career_ft_pct,total_oreb,total_dreb,total_reb,total_ast,total_tov,total_stl,total_blk,total_blka,total_pf,total_pfd,total_pts,total_plus_minus,total_nba_fantasy_pts,total_dd2,total_td3,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,first_season,last_season
52,2,27,15,12,0.5555556,176.11166,17.0,53.0,0.3207547,0.0,4.0,0.0,32.0,33.0,0.969697,3.0,12.0,15.0,32.0,17.0,9.0,2.0,4.0,25.0,0.0,66.0,-6.0,148.0,0.0,0.0,2.4444444,0.5555556,1.1851852,0.33333334,0.074074075,0.6296296,21997,21998
53,5,345,218,127,0.63188404,9694.028,952.0,2075.0,0.4587952,325.0,868.0,0.37442395,636.0,742.0,0.85714287,221.0,711.0,932.0,944.0,486.0,350.0,53.0,125.0,674.0,12.0,2865.0,911.0,6122.4004,3.0,0.0,8.304348,2.7014494,2.7362318,1.0144928,0.1536232,1.4086957,21996,22000
54,5,208,89,119,0.4278846,3932.92,340.0,780.0,0.43589744,1.0,8.0,0.125,283.0,470.0,0.6021277,297.0,583.0,880.0,230.0,267.0,72.0,45.0,108.0,443.0,37.0,964.0,-640.0,2449.0,7.0,0.0,4.6346154,4.230769,1.1057693,0.34615386,0.21634616,1.2836539,21996,22001
55,4,102,29,73,0.28431374,1865.1017,246.0,531.0,0.46327683,2.0,10.0,0.2,178.0,217.0,0.8202765,146.0,230.0,376.0,117.0,123.0,55.0,24.0,48.0,188.0,2.0,672.0,-206.0,1412.7,5.0,0.0,6.5882354,3.6862745,1.1470588,0.5392157,0.23529412,1.2058823,21996,21999
56,11,845,497,348,0.5881657,30739.463,5755.0,12646.0,0.45508462,938.0,2915.0,0.32178387,2302.0,3106.0,0.74114615,749.0,2812.0,3561.0,5848.0,1894.0,1333.0,177.0,638.0,1816.0,218.0,14750.0,1924.0,30431.2,208.0,11.0,17.455622,4.214201,6.92071,1.5775148,0.20946746,2.24142,21996,22006
57,11,672,371,301,0.5520833,23117.846,2794.0,6577.0,0.42481375,717.0,2028.0,0.3535503,1752.0,2088.0,0.83908045,643.0,2286.0,2929.0,2678.0,1423.0,1372.0,339.0,449.0,1653.0,34.0,8057.0,1057.0,19298.799,23.0,0.0,11.989583,4.358631,3.985119,2.0416667,0.50446427,2.1175594,21996,22006
61,3,161,69,92,0.42857143,2652.5383,363.0,844.0,0.43009478,2.0,8.0,0.25,104.0,173.0,0.60115606,167.0,326.0,493.0,76.0,149.0,93.0,72.0,62.0,329.0,4.0,832.0,-438.0,1883.6,4.0,0.0,5.1677017,3.0621119,0.47204968,0.57763976,0.44720498,0.9254658,21996,21998
63,5,302,86,216,0.28476822,7428.337,586.0,1123.0,0.52181655,0.0,4.0,0.0,431.0,744.0,0.57930106,805.0,1513.0,2318.0,484.0,348.0,253.0,153.0,147.0,734.0,30.0,1603.0,-912.0,5980.6,27.0,0.0,5.307947,7.6754966,1.602649,0.83774835,0.5066225,1.1523179,21996,22000
64,5,355,237,118,0.66760564,7061.308,836.0,1999.0,0.4182091,371.0,949.0,0.39093783,443.0,552.0,0.80253625,259.0,891.0,1150.0,350.0,243.0,210.0,143.0,76.0,563.0,14.0,2486.0,1065.0,5207.0005,1.0,0.0,7.0028167,3.2394366,0.9859155,0.5915493,0.4028169,0.6845071,21996,22000
65,3,136,57,79,0.41911766,2439.835,319.0,721.0,0.44244105,15.0,67.0,0.2238806,126.0,170.0,0.7411765,116.0,231.0,347.0,172.0,103.0,88.0,19.0,64.0,214.0,0.0,779.0,107.0,1671.4,0.0,0.0,5.727941,2.5514705,1.2647059,0.64705884,0.13970588,0.75735295,21996,21998
67,5,250,112,138,0.448,4016.8386,445.0,930.0,0.4784946,0.0,3.0,0.0,298.0,437.0,0.6819222,325.0,588.0,913.0,131.0,192.0,47.0,51.0,99.0,483.0,21.0,1188.0,-420.0,2582.0999,4.0,0.0,4.752,3.652,0.524,0.188,0.204,0.768,21996,22000
70,7,403,290,113,0.719603,6351.4946,765.0,1649.0,0.46391752,316.0,745.0,0.42416108,222.0,251.0,0.8844622,76.0,349.0,425.0,522.0,179.0,176.0,16.0,31.0,339.0,2.0,2068.0,695.0,3758.0,0.0,0.0,5.1315136,1.0545906,1.2952853,0.43672457,0.039702233,0.44416875,21996,22002
